token_type,token_address,receiver,amount
erc20,0xB631937b9E75A66291E7570E8Ed3Db10Eb43A888,0xeD6Ea230d9DAaa02F6D7F16A78C5e5c5B37CbBb4,1000
erc20,0xB631937b9E75A66291E7570E8Ed3Db10Eb43A888,0x409BB0a45Bd756F409D4ea774C918f8eEAa9b25f,1000
erc20,0xB631937b9E75A66291E7570E8Ed3Db10Eb43A888,0xddeF3dca5B27622e53Bad51569db8f3F72EDd1F8,1000
erc20,0xB631937b9E75A66291E7570E8Ed3Db10Eb43A888,0x9C12F7B02D9e9EC8dCD8Fb3A015A57446d7Af3a7,1000
erc20,0xB631937b9E75A66291E7570E8Ed3Db10Eb43A888,0xED1a47989427e22dBaB7b2ec06A769D49168d21F,1000
erc20,0xB631937b9E75A66291E7570E8Ed3Db10Eb43A888,0xdaB60eE75171B84F71Bf2Fb9B2D2E77aED814616,1000
erc20,0xB631937b9E75A66291E7570E8Ed3Db10Eb43A888,0xF85F074f8B7A6d6D4208fA8fbbef0301DE0bb9F7,1000
erc20,0xB631937b9E75A66291E7570E8Ed3Db10Eb43A888,0xfC69842F95C2ac266Bd41Fb2aE67252FB2951b1a,1000
erc20,0xB631937b9E75A66291E7570E8Ed3Db10Eb43A888,0x03C39874258B76A64f2D2BCa50F07F70aF26Dee9,1000
erc20,0xB631937b9E75A66291E7570E8Ed3Db10Eb43A888,0x03ed7584E01d7e9014F0b6C9f241d89761eAC19A,1000
erc20,0xB631937b9E75A66291E7570E8Ed3Db10Eb43A888,0x069C5BB4dA9eAD8f823852d2F5df3F057a86e359,1000